Titik,Latitude,Longitude,Total_Pend_Motor_Tahun,Total_Pend_Mobil_Tahun,Klasifikasi_Motor,Tarif_Dasar_Motor,Klasifikasi_Mobil,Tarif_Dasar_Mobil
Warunk Steak,-7.426917898667563,109.2514009671308,182572000.0,22902000.0,Sedang,2000,Tinggi,5000
Wijaya,-7.422897735104773,109.2540278183882,50833000.0,15166000.0,Rendah,1000,Sedang,4000
Sari Rasa,-7.424754223430076,109.25494513385011,36039000.0,5984000.0,Rendah,1000,Rendah,3000
Lins Collection,-7.423061385449272,109.24578515092536,122500000.0,5514000.0,Sedang,2000,Rendah,3000
oko Bangunan Sugen,-7.422566675387482,109.25010350733965,366373000.0,19222000.0,Tinggi,3000,Tinggi,5000
Toko Pusaka,-7.426543375739894,109.24856514907464,488236000.0,10448000.0,Tinggi,3000,Sedang,4000
Bakso Samiasih,-7.429368182846479,109.24621890669572,108339000.0,6772000.0,Sedang,2000,Rendah,3000
Gunung Slamet-Her,-7.423386883561782,109.24269341721606,77923000.0,9846000.0,Rendah,1000,Sedang,4000
Toko 66,-7.413383723681978,109.25774372050434,112701000.0,6084000.0,Sedang,2000,Rendah,3000
Toko Sambo,-7.422875757369549,109.22143839854478,92717000.0,6084000.0,Rendah,1000,Rendah,3000
Apotek Serayu,-7.412108293228503,109.2249554719487,70914000.0,10140000.0,Rendah,1000,Sedang,4000
Sentra Boga,-7.420992162461551,109.22016599565458,111076000.0,4056000.0,Sedang,2000,Rendah,3000
Putra Sunda,-7.420485274124991,109.2191360870987,82628000.0,4056000.0,Rendah,1000,Rendah,3000
Padang Surya,-7.421238920644637,109.2186479239234,103485000.0,5996000.0,Sedang,2000,Rendah,3000
Indomaret,-7.418252068215372,109.2222852059908,141464000.0,12844000.0,Sedang,2000,Sedang,4000
Toko Buah Rejasari,-7.422189234901049,109.21504672757372,45740000.0,10140000.0,Rendah,1000,Sedang,4000
BRI Rejasari,-7.421886992939782,109.2146824950714,130939000.0,8112000.0,Sedang,2000,Rendah,3000
RM Ayusari,-7.420089536656307,109.21401432600346,41748000.0,6380000.0,Rendah,1000,Rendah,3000
Soemarto Space,-7.407440917360633,109.23061501090982,430432000.0,35070000.0,Tinggi,3000,Tinggi,5000
Minang Juo,-7.407901739875189,109.23136462126526,143914000.0,10816000.0,Sedang,2000,Sedang,4000
Indomaret AY,-7.412989387320426,109.22257643698636,173987000.0,14202000.0,Sedang,2000,Sedang,4000
Elektrik Space,-7.423386883561782,109.24269341721606,117600000.0,8120000.0,Sedang,2000,Rendah,3000
Pasundan,-7.408605867663258,109.2290571861403,73994000.0,7436000.0,Rendah,1000,Rendah,3000
Mie Ayam,-7.418225673045853,109.2270412219462,47462000.0,10916000.0,Rendah,1000,Sedang,4000
Taman Literasi,-7.417036560769696,109.23071549505866,162758000.0,7436000.0,Sedang,2000,Rendah,3000
Rocket Chicken,-7.410456448870734,109.2238547976634,131860000.0,14872000.0,Sedang,2000,Sedang,4000
SS,-7.407707449731706,109.2238856253376,296752000.0,9876000.0,Tinggi,3000,Sedang,4000
Clendys,-7.416929111567246,109.22592390794053,154609000.0,22984000.0,Sedang,2000,Tinggi,5000
Octopus,-7.418822861662383,109.2267178417906,79669000.0,18252000.0,Rendah,1000,Tinggi,5000
Kimia Farma,-7.42026976635505,109.22646034973113,113865000.0,11492000.0,Sedang,2000,Sedang,4000
Alfamart WA,-7.421019814341376,109.22632623928348,105401000.0,18252000.0,Sedang,2000,Tinggi,5000
Soto Sungeb,-7.421562401449169,109.22612239140304,56217000.0,12268000.0,Rendah,1000,Sedang,4000
Soto Jalan Bank,-7.422229546042367,109.2260236337314,56896000.0,8230000.0,Rendah,1000,Rendah,3000
Soto Loso,-7.422283940740701,109.22593396071656,77147000.0,11986000.0,Rendah,1000,Sedang,4000
Oto Finance,-7.417418355803414,109.22717906484654,119055000.0,11492000.0,Sedang,2000,Sedang,4000
Toko Besi,-7.4187482358617505,109.22663189422016,66209000.0,10140000.0,Rendah,1000,Sedang,4000
Apotek K24,-7.417960947352558,109.22455050007264,93202000.0,14196000.0,Rendah,1000,Sedang,4000
RS Ananda,-7.416627021221493,109.2229675958961,326462000.0,18928000.0,Tinggi,3000,Tinggi,5000
Apolo Ovis,-7.421278981966691,109.24386064327666,98646000.0,7160000.0,Rendah,1000,Rendah,3000
Cak Cholik 2,-7.421606244410714,109.24421430905603,118090000.0,19704000.0,Sedang,2000,Tinggi,5000
Indomaret Fresh,-7.419765990554528,109.24269341721606,253176000.0,56954000.0,Tinggi,3000,Tinggi,5000
Gembong Gembul,-7.41953476306018,109.24418115543912,178385000.0,38432000.0,Sedang,2000,Tinggi,5000
Oemah Kopi Kuno,-7.41919620570685,109.24412309926052,96733000.0,3380000.0,Sedang,2000,Rendah,3000
Lawson,-7.417876307691396,109.24387549341898,188124000.0,29468000.0,Tinggi,3000,Tinggi,5000
Alfamart Ovis,-7.4214879879117825,109.23517293697574,207377000.0,52016000.0,Tinggi,3000,Tinggi,5000
Mie Bestie,-7.419577886435707,109.24612735597788,175993000.0,14108000.0,Sedang,2000,Sedang,4000
Tengkleng Deso,-7.417485850374549,109.2537703662738,139942000.0,75812000.0,Sedang,2000,Tinggi,5000
RM Bebek H Slamet,-7.416621411708319,109.25358223739669,127676000.0,66178000.0,Sedang,2000,Tinggi,5000
RM Intan Sari,-7.41635922968157,109.24404452712996,115538000.0,15742000.0,Sedang,2000,Sedang,4000
Tripio,-7.416628266914549,109.24399570674528,99152000.0,25312000.0,Sedang,2000,Tinggi,5000
Sederet Mixue,-7.416080989538388,109.24243145351532,118162000.0,24442000.0,Sedang,2000,Tinggi,5000
Sederet Planet Shoe,-7.4163583170133505,109.24299406513514,135005000.0,14872000.0,Sedang,2000,Sedang,4000
Indomaret,-7.42129458741308,109.2444531831636,132658000.0,17582000.0,Sedang,2000,Tinggi,5000
New Agung Motor,-7.416102506887572,109.24097703640103,127518000.0,20956000.0,Sedang,2000,Tinggi,5000
Lesehan Tirta Aji,-7.415487835501095,109.24006038991423,53047000.0,4062000.0,Rendah,1000,Rendah,3000
RM Furuma,-7.415085548482891,109.24026307598984,50763000.0,21638000.0,Rendah,1000,Tinggi,5000
Gudeg Pak Dar,-7.414995753619304,109.23271293787576,12212000.0,6872000.0,Rendah,1000,Rendah,3000
PKL Malam GOR,-7.41728550971747,109.250447376167,29443000.0,44352000.0,Tinggi,3000,Tinggi,5000
Ayam Geprek Juara,-7.4171042055155,109.249815200664,25506000.0,37274000.0,Tinggi,3000,Tinggi,5000
Spesial Sambal,-7.41731224158537,109.249789649075,33985000.0,89420000.0,Tinggi,3000,Tinggi,5000
Djago Jowo,-7.41822621588459,109.251577845298,15988000.0,91072000.0,Tinggi,3000,Tinggi,5000
Mampir Pawon,-7.42029354316678,109.251308460644,19180000.0,36134000.0,Tinggi,3000,Tinggi,5000
Panties Piza,-7.39033463939933,109.25756128535,5070000.0,13232000.0,Rendah,1000,Sedang,4000
Dpiros,-7.41877272892389,109.25120242253,5141000.0,12738000.0,Sedang,2000,Sedang,4000
Kuro,-7.41811510763434,109.251629096151,3987000.0,19122000.0,Rendah,1000,Tinggi,5000
RM SteakBoss,-7.38916607218781,109.251490349654,3677000.0,25012000.0,Rendah,1000,Tinggi,5000
RM Endang,-7.41830626498044,109.249776401715,3769000.0,11686000.0,Rendah,1000,Sedang,4000
Mie Naga,-7.40680247662256,109.259561744506,6311000.0,8306000.0,Sedang,2000,Rendah,3000
Alas Indah,-7.4083652838914,109.24541685322,153057000.0,14872000.0,Sedang,2000,Sedang,4000
Deretan Apotek 24,-7.40505106004048,109.244829067845,275071000.0,25688000.0,Tinggi,3000,Tinggi,5000
"BRI, Bursa Kampus",-7.40398935711353,109.244965214604,402372000.0,36328000.0,Tinggi,3000,Tinggi,5000
Deretan Ruko BTN,-7.40514905316206,109.245180090215,236679000.0,39284000.0,Tinggi,3000,Tinggi,5000
Bubur Ayam,-7.40530836507972,109.244786708697,186380000.0,16212000.0,Tinggi,3000,Sedang,4000
pleks Lapangan Glem,-7.40922224488828,109.245963109651,79742000.0,9276000.0,Rendah,1000,Rendah,3000
Lodja Caffe,-7.40865596214557,109.245630684443,336284000.0,34376000.0,Tinggi,3000,Tinggi,5000
Mandiri,-7.40448944179307,109.245538176092,297724000.0,9640000.0,Sedang,2000,Sedang,4000
Cafe Radio Dalam,-7.40515139305126,109.244807151795,284772000.0,12662000.0,Tinggi,3000,Sedang,4000
Poppies,-7.40285864431152,109.248247751104,337157000.0,14208000.0,Tinggi,3000,Sedang,4000
retan Makaroni Nge,-7.39699506187028,109.245637697895,258870000.0,29468000.0,Tinggi,3000,Tinggi,5000
Supermen Susu,-7.40322140102423,109.245484652718,183227000.0,8112000.0,Sedang,2000,Rendah,3000
Deretan Maximum,-7.32177980628607,109.227970095416,257051000.0,33224000.0,Tinggi,3000,Tinggi,5000
Deretan Dr Vapor,-7.40703983357121,109.24475345563,165935000.0,13138000.0,Sedang,2000,Sedang,4000
Studio One,-7.40121788774133,109.244114043111,151262000.0,21732000.0,Sedang,2000,Tinggi,5000
Samsung,-7.4104863672298,109.245275215452,102054000.0,6872000.0,Sedang,2000,Rendah,3000
Alfamart,-7.41461460271872,109.244974811766,198918000.0,12844000.0,Tinggi,3000,Sedang,4000
Mayashi,-7.41462445813699,109.244754019714,179492000.0,13138000.0,Sedang,2000,Sedang,4000
Karita,-7.39541310386264,109.243869041425,130090000.0,14984000.0,Sedang,2000,Sedang,4000
Hangout,-7.41237685565728,109.245069364459,73751000.0,16524000.0,Rendah,1000,Sedang,4000
Mie Kelinci,-7.41360435502965,109.244905566724,62450000.0,15172000.0,Rendah,1000,Sedang,4000
Angkringan,-7.41360435502965,109.244761037135,50542000.0,4350000.0,Rendah,1000,Rendah,3000
Ketoprak,-7.41301059457523,109.24488491964,52943000.0,4350000.0,Rendah,1000,Rendah,3000
Mie Pak Kumis,-7.4109704934324,109.245246699602,136808000.0,11492000.0,Sedang,2000,Sedang,4000
Indomaret,-7.41294062331558,109.243691011675,202338000.0,14202000.0,Tinggi,3000,Sedang,4000
Selera,-7.41405026228519,109.244743879339,170979000.0,15548000.0,Sedang,2000,Sedang,4000
Seblak Ndower,-7.40950305303932,109.24589714472,156792000.0,3380000.0,Sedang,2000,Rendah,3000
Lamongan,-7.41262678386402,109.245067993496,62062000.0,3380000.0,Rendah,1000,Rendah,3000
Arthalia,-7.41335391252294,109.244421942931,37470000.0,13332000.0,Rendah,1000,Sedang,4000
Waroeng Proliman,-7.43612408553954,109.237706453225,51900000.0,9188000.0,Rendah,1000,Sedang,4000
Rocket Chicken Proliman,-7.43616483208072,109.238766230849,147115000.0,12844000.0,Sedang,2000,Sedang,4000
oko Sepeda Obor Bahagi,-7.43262026865644,109.240321613887,24475500.0,2949000.0,Rendah,1000,Rendah,3000
Aneka Logam UD,-7.43299888804294,109.240530290589,193109000.0,2900000.0,Tinggi,3000,Rendah,3000
Klinik An-Nur,-7.43189222714461,109.240229879481,298766000.0,5408000.0,Tinggi,3000,Rendah,3000
Alfamart Proliman,-7.44005666995865,109.238188317416,184949000.0,12168000.0,Sedang,2000,Sedang,4000
Joy Dental,-7.43279531749299,109.240013302289,93002000.0,5898000.0,Rendah,1000,Rendah,3000
Bakso Kebondalem,-7.4293649844128,109.240620893231,163534000.0,7436000.0,Sedang,2000,Rendah,3000
Agung Akindo,-7.4350784655078,109.239297036611,19600000.0,6862000.0,Rendah,1000,Rendah,3000
Martabak Den Bagus,-7.40718644316083,109.236381405082,105110000.0,6472000.0,Sedang,2000,Rendah,3000
RM Jawa,-7.4128030155802,109.237583019712,104746000.0,31678000.0,Sedang,2000,Tinggi,5000
Seafood Haji Soleh,-7.40778272323269,109.236789377912,57260000.0,4250000.0,Rendah,1000,Rendah,3000
Lamongan Trubus,-7.40770402533787,109.238152444562,77438000.0,5990000.0,Rendah,1000,Rendah,3000
Es Teller Sultan,-7.40723566022394,109.235105451662,261489000.0,25524000.0,Tinggi,3000,Tinggi,5000
Mi Ayam Koncoan,-7.40446742632904,109.23089869143,41520000.0,7436000.0,Rendah,1000,Rendah,3000
Alfamart,-7.41402316244549,109.244406354386,169694000.0,4732000.0,Sedang,2000,Rendah,3000
Rocket Chiken,-7.4061088004023,109.236949147337,185409000.0,18928000.0,Sedang,2000,Tinggi,5000
Ayam Bakar Legenda,-7.40734496731343,109.234976098541,189120000.0,12844000.0,Tinggi,3000,Sedang,4000
Jalan Pasar Ceremai,-7.3959596677862,109.232394821262,1427904000.0,13714000.0,Tinggi,3000,Sedang,4000
Toko Ceremai,-7.39498059015184,109.230420711874,301399000.0,8120000.0,Tinggi,3000,Rendah,3000
Tepi Jalan Timur SPB,-7.39774711268868,109.231064445707,164771000.0,6760000.0,Sedang,2000,Rendah,3000
Rona Cake,-7.41798612557617,109.259652292235,126840000.0,13626000.0,Sedang,2000,Sedang,4000
Rocket Chicken Mers,-7.42593924263116,109.26579844514,165207000.0,23642000.0,Sedang,2000,Tinggi,5000
Alfamart Mersi,-7.42632503050292,109.2641092298,165450000.0,10722000.0,Sedang,2000,Sedang,4000
Pasar Mersi,-7.42615871960201,109.267170859907,220988000.0,29168000.0,Tinggi,3000,Tinggi,5000
Alfamart Supriyadi,-7.42713464303075,109.258117708462,110712000.0,12168000.0,Sedang,2000,Sedang,4000
Alfamart Martadireja,-7.42206346703502,109.261052752523,184076000.0,8982000.0,Sedang,2000,Rendah,3000
Toko Selajaya,-7.42577643604254,109.261786249157,26999000.0,7436000.0,Rendah,1000,Rendah,3000
Alfamart Gumberg,-7.43597864720648,109.269152506747,215070000.0,13926000.0,Tinggi,3000,Sedang,4000
Nabil Buah,-7.41909862552666,109.259785237182,187253000.0,12168000.0,Tinggi,3000,Sedang,4000
Nisu,-7.42475955971077,109.26450181853,34972000.0,3380000.0,Rendah,1000,Rendah,3000
Lapangan Grendeng,-7.40156015494368,109.248821337428,235879000.0,3380000.0,Tinggi,3000,Rendah,3000
Selero Denai,-7.40136408505207,109.249337067858,218999000.0,5026000.0,Tinggi,3000,Rendah,3000
Alfamart Jl Kampus,-7.40221222841171,109.249667326631,230689000.0,9464000.0,Tinggi,3000,Sedang,4000
ndomaret Jl Kampus,-7.40212154012291,109.250271567579,191667000.0,9658000.0,Tinggi,3000,Sedang,4000
Ruko FYP,-7.4014459681865,109.24810415105,298911000.0,3380000.0,Tinggi,3000,Rendah,3000
Warkom,-7.4145310431684,109.253692113553,180341000.0,3380000.0,Sedang,2000,Rendah,3000
Indomaret Suparno,-7.41648094825441,109.254232013876,183300000.0,8788000.0,Sedang,2000,Rendah,3000
Ora Umum,-7.41456195264186,109.253947652521,765893000.0,14802000.0,Tinggi,3000,Sedang,4000
Gacoan,-7.4137343359775,109.254057234268,1316810000.0,24830000.0,Tinggi,3000,Tinggi,5000
SBC,-7.41091352494978,109.253479075043,258555000.0,25012000.0,Tinggi,3000,Tinggi,5000
Pecel Lele,-7.41338087062528,109.254594858992,120001000.0,2704000.0,Sedang,2000,Rendah,3000
Lamongan,-7.40844427545001,109.252449091968,67737000.0,3574000.0,Rendah,1000,Rendah,3000
Angkringan,-7.41505157176543,109.254400490585,67737000.0,3380000.0,Rendah,1000,Rendah,3000
Kompleks Pasar Kobe,-7.41162737541413,109.223654495133,685179000.0,13232000.0,Tinggi,3000,Sedang,4000
i Jalan RS Dadi Kelua,-7.44748822271557,109.252962364417,46613000.0,2704000.0,Rendah,1000,Rendah,3000
Rocket Chicken Teluk,-7.44650133405869,109.254504467869,174884000.0,8788000.0,Sedang,2000,Rendah,3000
Alfamart Teluk,-7.45051924538888,109.256406167296,106807000.0,8788000.0,Sedang,2000,Rendah,3000
Kedungwuluh BST,-7.42599724094355,109.22481286149,1449173000.0,22996000.0,Tinggi,3000,Tinggi,5000
Kedungwuluh KJB,-7.4195330681426,109.226052351726,1197507000.0,18164000.0,Tinggi,3000,Tinggi,5000
Kranji,-7.42320223573482,109.233593668421,975356000.0,15748000.0,Tinggi,3000,Sedang,4000
Pasir Muncang,-7.4321577,109.216247,1082918000.0,12362000.0,Tinggi,3000,Sedang,4000
Tanjung,-7.43744392954767,109.232226412147,460843000.0,8112000.0,Tinggi,3000,Rendah,3000
Naqib Buah,-7.40583040771841,109.230764406497,102442000.0,14942000.0,Sedang,2000,Sedang,4000
Sonic Chicken,-7.40429633459916,109.232136640522,204569000.0,15906000.0,Tinggi,3000,Sedang,4000
Alfamidi Tanjung,-7.43888359123765,109.219399813888,298232000.0,14196000.0,Tinggi,3000,Sedang,4000
