Titik,Latitude,Longitude,Total_Pend_Motor_Tahun,Total_Pend_Mobil_Tahun,Klasifikasi_Motor,Tarif_Dasar_Motor,Klasifikasi_Mobil,Tarif_Dasar_Mobil
Toko Dua Saudara,-7.4199,109.19732,354720335.0,22656134.0,Tinggi,3000,Tinggi,5000
an Rocket; BMT; dan,-7.41996,109.19756,391872314.0,26496180.0,Tinggi,3000,Tinggi,5000
potek dan Bank Jaten,-7.419994861,109.2015147,506688406.0,17280102.0,Tinggi,3000,Tinggi,5000
Apotik Karanglewas,-7.42026,109.19939,97344078.0,10752064.0,Rendah,1000,Sedang,4000
Mode; Titipkue; Gaja,-7.42037617,109.2015146,247200199.0,12288074.0,Tinggi,3000,Sedang,4000
Wina dan Sembada,-7.42759,109.24742,169824137.0,0.0,Sedang,2000,Rendah,3000
Sate Dua Saudara,-7.42205,109.20999,139776112.0,15072106.0,Sedang,2000,Sedang,4000
Jl. Djaydiwangsa,-7.425473199,109.2006538,1529377171.0,20256118.0,Tinggi,3000,Tinggi,5000
Alfamart Karanglewas,-7.41993,109.20045,458208357.0,12288068.0,Tinggi,3000,Sedang,4000
mas plastik - studio b,-7.4209,109.20159,131424097.0,4032024.0,Sedang,2000,Rendah,3000
tedja elektrik,-7.420241084,109.2013643,74880060.0,0.0,Rendah,1000,Rendah,3000
lfamart karanglewas,-7.42487,109.20044,232128186.0,13440080.0,Tinggi,3000,Sedang,4000
mode-gajah sakti-sin,-7.42032,109.1998,309600273.0,6048036.0,Tinggi,3000,Rendah,3000
sumber boga,-7.419987786,109.1984806,213216181.0,8544050.0,Tinggi,3000,Rendah,3000
terapi gratis,-7.42594,109.24612,117312118.0,2688016.0,Sedang,2000,Rendah,3000
erus jaya-tara plasti,-7.42023,109.19921,152352123.0,10944066.0,Sedang,2000,Sedang,4000
Alfamidi Wahid Hasyim,-7.44871,109.24346,115776102.0,12960096.0,Sedang,2000,Sedang,4000
Tepi Jalan BJ,-7.439470097,109.2443198,206784186.0,45312274.0,Tinggi,3000,Tinggi,5000
Warung SS-JailBreak,-7.44543,109.24366,72576060.0,10464064.0,Rendah,1000,Sedang,4000
Sonic Chicken,-7.450062033,109.2427365,167232134.0,13248078.0,Sedang,2000,Sedang,4000
Alfamart Wahid Hasyim,-7.451207957,109.2427322,149952122.0,11616070.0,Sedang,2000,Sedang,4000
Indomaret Wahid Hasyim,-7.45152,109.24266,159936130.0,13920088.0,Sedang,2000,Sedang,4000
Rocket Chiken Wahid Hasyim,-7.4511,109.24269,137472112.0,6912042.0,Sedang,2000,Rendah,3000
Salsa Snack,-7.4436,109.23585,220416184.0,9504060.0,Tinggi,3000,Sedang,4000
Sate Ahmad Yani,-7.4429,109.23908,140544120.0,14688090.0,Sedang,2000,Sedang,4000
Toko Mas Ramayana,-7.42471845315248,109.2292626760598,75037000.0,9740000.0,Rendah,1000,Sedang,4000
Area Lapas,-7.424891810835278,109.2287283865754,90486000.0,13720000.0,Rendah,1000,Sedang,4000
Sari Utama-Gaya Baru,-7.422644761412506,109.22729730565948,374821000.0,12571000.0,Tinggi,3000,Sedang,4000
Apotek Waluyo,-7.424460891847377,109.22787454907466,189072000.0,7530000.0,Tinggi,3000,Rendah,3000
Toko Intan,-7.427200396512697,109.2111214719542,147673000.0,14296000.0,Sedang,2000,Sedang,4000
Toko Jodo,-7.422995171849995,109.22697967494936,81270000.0,6760000.0,Rendah,1000,Rendah,3000
Toko Lim,-7.417231486878434,109.22583887778796,126210000.0,6084000.0,Sedang,2000,Rendah,3000
Toko Laris,-7.41484833074973,109.22755549151786,143453500.0,19928000.0,Sedang,2000,Tinggi,5000
Apotek 24 Jam,-7.423676433911818,109.22681760123812,459898000.0,54280000.0,Tinggi,3000,Tinggi,5000
Toko Aneka-Toko Hidup,-7.424019924885224,109.22705089325368,265443000.0,6748000.0,Tinggi,3000,Rendah,3000
Toko Mutiara,-7.42351273255626,109.22683815746942,195183000.0,8012000.0,Tinggi,3000,Rendah,3000
Toko Keripik,-7.424576622184915,109.22821144845337,326317000.0,31120000.0,Tinggi,3000,Tinggi,5000
Martabak Legit,-7.425385176581029,109.22640900403697,192734000.0,2704000.0,Tinggi,3000,Rendah,3000
Tepi Alfamart Sawangan,-7.3189410796922845,109.20136477568418,305750000.0,42582000.0,Tinggi,3000,Tinggi,5000
Indomaret Sawangan,-7.308044131149922,109.22883059536248,252783000.0,13902000.0,Tinggi,3000,Sedang,4000
Soto Lama,-7.426981648859774,109.22619410489636,192564500.0,12665000.0,Tinggi,3000,Sedang,4000
Sop Ayam Klaten,-7.426745065194336,109.22598580304496,143356000.0,16118000.0,Sedang,2000,Sedang,4000
Rocket Chiken,-7.427514193953431,109.2261388337314,198797000.0,8788000.0,Tinggi,3000,Rendah,3000
